name,school,conference,games_played,rec_col,rec_yds_col,ypr_col,rec_td_col,rush_attempts,rush_yds,ypc,rush_td,worth,age
D.K. Metcalf,Ole Miss,SEC,7,26,569,21.9,5,0,0,,0,1,22
Terry McLaurin,Ohio State,Big Ten,12,35,701,20.0,11,0,0,,0,1,24
Darius Slayton,Auburn,SEC,11,35,670,19.1,5,0,0,,0,1,22
Marquise Brown,Oklahoma,Big 12,12,75,1318,17.6,10,2,0,0.0,0,1,22
JJ Arcega-Whiteside,Stanford,Pac-12,12,63,1059,16.8,14,0,0,,0,0,23
Andy Isabella,Massachusetts,Ind,12,102,1698,16.6,13,11,79,7.2,1,0,23
Scott Miller,Bowling Green State,MAC,11,71,1148,16.2,9,4,16,4.0,0,0,22
Damion Willis,Troy,Sun Belt,11,56,876,15.6,10,0,0,,0,0,22
A.J. Brown,Ole Miss,SEC,12,85,1320,15.5,6,0,0,,0,1,22
Diontae Johnson,Toledo,MAC,13,49,761,15.5,8,2,17,8.5,0,1,23
Mecole Hardman,Georgia,SEC,14,35,543,15.5,7,5,36,7.2,0,1,21
John Ursua,Hawaii,MWC,13,89,1343,15.1,16,2,4,2.0,1,0,25
N'Keal Harry,Arizona State,Pac-12,12,73,1088,14.9,9,7,10,1.4,1,0,22
Miles Boykin,Notre Dame,Ind,13,59,872,14.8,8,0,0,,0,0,23
Olabisi Johnson,Colorado State,MWC,11,54,796,14.7,4,0,0,,0,0,22
Kelvin Harmon,North Carolina State,ACC,12,81,1186,14.6,7,0,0,,0,0,23
Deebo Samuel,South Carolina,SEC,12,62,882,14.2,11,8,26,3.3,0,1,23
KeeSean Johnson,Fresno State,MWC,14,95,1340,14.1,8,4,14,3.5,0,0,23
Preston Williams,Colorado State,MWC,12,96,1345,14.0,14,4,13,3.3,0,1,22
Ventell Bryant,Temple,American,13,51,690,13.5,3,3,12,4.0,0,0,23
Riley Ridley,Georgia,SEC,14,43,559,13.0,9,0,0,,0,0,23
Parris Campbell,Ohio State,Big Ten,14,90,1063,11.8,12,9,24,2.7,0,0,22
Olamide Zaccheaus,Virginia,ACC,13,93,1058,11.4,9,16,83,5.2,0,0,22
Jakobi Meyers,North Carolina State,ACC,12,92,1047,11.4,4,3,-9,-3.0,0,0,23
Hunter Renfrow,Clemson,ACC,15,49,544,11.1,1,0,0,,0,1,24
