name,school_x,conference,games_played,rec_col,rec_yds_col,ypr_col,rec_td_col,rush_attempts,rush_yds,ypc,rush_td,worth,age_x,height,weight,forty,vertical,bench,jump,cone,shuttle,drafted
D.K. Metcalf,Ole Miss,SEC,7,26,569,21.9,5,0,0,,0,1,22,6-3,228,4.33,40.5,27,134,7.38,4.50,Seattle Seahawks / 2nd / 64th pick / 2019
Terry McLaurin,Ohio State,Big Ten,12,35,701,20.0,11,0,0,,0,1,24,6-0,208,4.35,37.5,18,125,7.01,4.15,Washington Redskins / 3rd / 76th pick / 2019
Darius Slayton,Auburn,SEC,11,35,670,19.1,5,0,0,,0,1,22,6-1,190,4.39,40.5,11,135,7.00,4.15,New York Giants / 5th / 171st pick / 2019
Marquise Brown,Oklahoma,Big 12,12,75,1318,17.6,10,2,0,0.0,0,1,22,5-9,166,,,,,,,Baltimore Ravens / 1st / 25th pick / 2019
JJ Arcega-Whiteside,Stanford,Pac-12,12,63,1059,16.8,14,0,0,,0,0,23,6-2,225,,,,,,,Philadelphia Eagles / 2nd / 57th pick / 2019
Andy Isabella,Massachusetts,Ind,12,102,1698,16.6,13,11,79,7.2,1,0,23,5-9,188,4.31,36.5,15,121,6.95,4.15,Arizona Cardinals / 2nd / 62nd pick / 2019
Scott Miller,Bowling Green State,MAC,11,71,1148,16.2,9,4,16,4.0,0,0,22,,,,,,,,,
Damion Willis,Troy,Sun Belt,11,56,876,15.6,10,0,0,,0,0,22,,,,,,,,,
A.J. Brown,Ole Miss,SEC,12,85,1320,15.5,6,0,0,,0,1,22,6-0,226,4.49,36.5,19,120,,,Tennessee Titans / 2nd / 51st pick / 2019
Diontae Johnson,Toledo,MAC,13,49,761,15.5,8,2,17,8.5,0,1,23,5-10,183,4.53,33.5,15,123,7.09,4.45,Pittsburgh Steelers / 3rd / 66th pick / 2019
Mecole Hardman,Georgia,SEC,14,35,543,15.5,7,5,36,7.2,0,1,21,5-10,187,4.33,36.5,17,119,,,Kansas City Chiefs / 2nd / 56th pick / 2019
John Ursua,Hawaii,MWC,13,89,1343,15.1,16,2,4,2.0,1,0,25,,,,,,,,,
N'Keal Harry,Arizona State,Pac-12,12,73,1088,14.9,9,7,10,1.4,1,0,22,6-2,228,4.53,38.5,27,122,,,New England Patriots / 1st / 32nd pick / 2019
Miles Boykin,Notre Dame,Ind,13,59,872,14.8,8,0,0,,0,0,23,6-4,220,4.42,43.5,12,140,6.77,4.07,Baltimore Ravens / 3rd / 93rd pick / 2019
Olabisi Johnson,Colorado State,MWC,11,54,796,14.7,4,0,0,,0,0,22,,,,,,,,,
Kelvin Harmon,North Carolina State,ACC,12,81,1186,14.6,7,0,0,,0,0,23,6-2,221,4.60,32.5,18,117,7.15,4.32,Washington Redskins / 6th / 206th pick / 2019
Deebo Samuel,South Carolina,SEC,12,62,882,14.2,11,8,26,3.3,0,1,23,5-11,214,4.48,39.0,15,122,7.03,4.14,San Francisco 49ers / 2nd / 36th pick / 2019
KeeSean Johnson,Fresno State,MWC,14,95,1340,14.1,8,4,14,3.5,0,0,23,6-1,201,4.60,30.0,14,117,7.28,4.23,Arizona Cardinals / 6th / 174th pick / 2019
Preston Williams,Colorado State,MWC,12,96,1345,14.0,14,4,13,3.3,0,1,22,,,,,,,,,
Ventell Bryant,Temple,American,13,51,690,13.5,3,3,12,4.0,0,0,23,,,,,,,,,
Riley Ridley,Georgia,SEC,14,43,559,13.0,9,0,0,,0,0,23,6-1,199,4.58,30.5,13,124,7.22,4.28,Chicago Bears / 4th / 126th pick / 2019
Parris Campbell,Ohio State,Big Ten,14,90,1063,11.8,12,9,24,2.7,0,0,22,6-0,205,4.31,40.0,11,135,,4.03,Indianapolis Colts / 2nd / 59th pick / 2019
Olamide Zaccheaus,Virginia,ACC,13,93,1058,11.4,9,16,83,5.2,0,0,22,,,,,,,,,
Jakobi Meyers,North Carolina State,ACC,12,92,1047,11.4,4,3,-9,-3.0,0,0,23,6-2,203,4.63,37.0,13,118,7.07,4.23,
Hunter Renfrow,Clemson,ACC,15,49,544,11.1,1,0,0,,0,1,24,5-10,184,4.59,35.0,7,116,6.80,4.19,Oakland Raiders / 5th / 149th pick / 2019
